年月日,天気概況
2020/01/01,晴
2020/01/02,晴
2020/01/03,晴
2020/01/04,晴
2020/01/05,晴
2020/01/06,晴後一時曇
2020/01/07,曇一時晴後雨
2020/01/08,雨後曇時々晴
2020/01/09,晴
2020/01/10,晴後一時曇
2020/01/11,曇後晴
2020/01/12,曇一時晴後雨
2020/01/13,晴
2020/01/14,晴後時々曇
2020/01/15,雨後曇時々晴
2020/01/16,晴一時曇
2020/01/17,曇時々晴
2020/01/18,曇一時雪後みぞれ時々雨
2020/01/19,晴後一時曇
2020/01/20,晴
2020/01/21,晴
2020/01/22,曇時々晴
2020/01/23,雨一時みぞれ後曇
2020/01/24,晴一時曇
2020/01/25,曇時々晴
2020/01/26,曇後一時晴
2020/01/27,曇
2020/01/28,雨時々みぞれ
2020/01/29,晴一時雨
2020/01/30,晴
2020/01/31,晴
2020/02/01,晴
2020/02/02,晴
2020/02/03,晴時々曇
2020/02/04,晴時々曇
2020/02/05,晴後時々曇
2020/02/06,晴一時曇
2020/02/07,晴
2020/02/08,晴
2020/02/09,晴
2020/02/10,晴時々曇
2020/02/11,晴
2020/02/12,晴時々曇
2020/02/13,曇一時雨後晴
2020/02/14,曇一時晴後一時雨
2020/02/15,曇
2020/02/16,曇時々雨
2020/02/17,曇時々雨
2020/02/18,晴
2020/02/19,晴
2020/02/20,曇時々晴
2020/02/21,晴
2020/02/22,曇後時々晴
2020/02/23,晴
2020/02/24,晴一時曇
2020/02/25,曇時々晴後雨
2020/02/26,雨後曇
2020/02/27,晴
2020/02/28,晴時々曇
2020/02/29,曇時々晴
2020/03/01,晴時々曇
2020/03/02,雨後一時曇
2020/03/03,晴
2020/03/04,曇時々雨
2020/03/05,雨時々曇後晴
2020/03/06,晴
2020/03/07,曇
2020/03/08,雨時々曇
2020/03/09,晴時々曇
2020/03/10,雨
2020/03/11,晴
2020/03/12,晴
2020/03/13,曇時々晴
2020/03/14,雨一時曇、みぞれを伴う
2020/03/15,晴後一時雨一時曇
2020/03/16,晴時々曇一時雨
2020/03/17,晴
2020/03/18,晴一時雨
2020/03/19,晴
2020/03/20,晴一時曇
2020/03/21,晴
2020/03/22,晴後一時雨
2020/03/23,晴時々曇
2020/03/24,晴一時雨、みぞれを伴う
2020/03/25,晴
2020/03/26,晴
2020/03/27,曇一時雨
2020/03/28,曇時々晴後雨
2020/03/29,みぞれ時々雨一時曇
2020/03/30,曇
2020/03/31,曇後時々雨
2020/04/01,雨
2020/04/02,晴
2020/04/03,晴
2020/04/04,晴
2020/04/05,曇後晴一時雨
2020/04/06,晴
2020/04/07,晴時々曇
2020/04/08,晴
2020/04/09,晴後雨時々曇、雷を伴う
2020/04/10,晴
2020/04/11,晴後一時雨一時曇
2020/04/12,曇一時雨
2020/04/13,大雨、雷を伴う
2020/04/14,晴
2020/04/15,晴後一時曇
2020/04/16,晴時々曇
2020/04/17,曇
2020/04/18,大雨後一時晴、雷を伴う
2020/04/19,晴
2020/04/20,雨時々曇
2020/04/21,曇時々晴
2020/04/22,曇時々晴
2020/04/23,晴後雨時々曇
2020/04/24,曇時々晴一時雨、雷を伴う
2020/04/25,晴
2020/04/26,晴後一時曇
2020/04/27,曇時々晴一時雨
2020/04/28,曇時々晴、雷を伴う
2020/04/29,晴
2020/04/30,晴
2020/05/01,晴時々曇
2020/05/02,晴
2020/05/03,曇時々晴
2020/05/04,曇時々雨
2020/05/05,晴後雨時々曇
2020/05/06,雨時々曇、雷を伴う
2020/05/07,晴
2020/05/08,晴時々曇
2020/05/09,曇後一時雨
2020/05/10,曇時々雨一時晴
2020/05/11,晴一時曇
2020/05/12,曇後一時晴
2020/05/13,晴、雷を伴う
2020/05/14,晴後一時曇
2020/05/15,曇時々晴
2020/05/16,雨時々曇
2020/05/17,晴
2020/05/18,曇後時々雨
2020/05/19,雨後時々曇
2020/05/20,曇時々雨
2020/05/21,曇時々雨
2020/05/22,曇一時雨
2020/05/23,曇時々雨
2020/05/24,曇一時雨後晴
2020/05/25,曇後時々晴
2020/05/26,曇時々雨
2020/05/27,曇時々晴一時雨
2020/05/28,晴時々曇、雷を伴う
2020/05/29,晴
2020/05/30,晴後時々曇、雷を伴う
2020/05/31,曇後時々雨
2020/06/01,曇時々雨
2020/06/02,曇時々雨一時晴
2020/06/03,晴時々曇
2020/06/04,曇後一時晴
2020/06/05,晴時々曇
2020/06/06,曇後一時大雨、雷を伴う
2020/06/07,曇一時雨後晴
2020/06/08,晴
2020/06/09,晴
2020/06/10,晴後一時曇、雷を伴う
2020/06/11,曇時々晴後雨、雷を伴う
2020/06/12,曇時々晴後雨、雷を伴う
2020/06/13,大雨
2020/06/14,曇後時々雨
2020/06/15,曇時々晴
2020/06/16,晴一時曇後一時雨、雷を伴う
2020/06/17,晴後一時曇
2020/06/18,曇後一時雨
2020/06/19,雨
2020/06/20,晴
2020/06/21,曇時々雨
2020/06/22,雨時々曇
2020/06/23,雨時々曇一時晴
2020/06/24,曇
2020/06/25,曇時々雨
2020/06/26,曇後一時雨一時晴
2020/06/27,曇一時雨
2020/06/28,大雨後曇時々晴
2020/06/29,晴後時々曇
2020/06/30,雨時々曇
2020/07/01,曇
2020/07/02,晴時々曇
2020/07/03,曇後時々雨
2020/07/04,曇一時雨
2020/07/05,曇後一時雨一時晴
2020/07/06,雨時々曇
2020/07/07,曇後時々雨
2020/07/08,曇時々雨、雷を伴う
2020/07/09,雨時々曇
2020/07/10,雨後時々曇
2020/07/11,雨時々曇
2020/07/12,曇時々晴
2020/07/13,曇後時々雨
2020/07/14,雨後曇
2020/07/15,曇時々雨
2020/07/16,曇後一時雨
2020/07/17,雨時々曇
2020/07/18,雨時々曇
2020/07/19,曇一時雨後晴
2020/07/20,曇一時晴、雷を伴う
2020/07/21,曇時々雨
2020/07/22,曇時々雨一時晴、雷を伴う
2020/07/23,雨後一時曇
2020/07/24,雨時々曇
2020/07/25,雨後時々曇
2020/07/26,雨時々曇
2020/07/27,雨時々曇
2020/07/28,雨時々曇
2020/07/29,雨時々曇
2020/07/30,曇一時雨
2020/07/31,曇時々雨後晴
2020/08/01,晴一時雨後曇
2020/08/02,曇時々晴
2020/08/03,晴時々曇
2020/08/04,晴一時曇
2020/08/05,晴時々曇
2020/08/06,曇時々晴
2020/08/07,曇時々晴
2020/08/08,曇
2020/08/09,曇時々晴
2020/08/10,曇時々晴
2020/08/11,晴
2020/08/12,晴後曇時々雨、雷を伴う
2020/08/13,晴時々曇、雷を伴う
2020/08/14,晴
2020/08/15,晴
2020/08/16,晴、雷を伴う
2020/08/17,晴時々曇、雷を伴う
2020/08/18,晴時々曇
2020/08/19,晴時々曇
2020/08/20,晴
2020/08/21,晴
2020/08/22,曇時々晴一時雨、雷を伴う
2020/08/23,×
2020/08/24,雨時々曇後晴
2020/08/25,晴時々曇
2020/08/26,晴一時曇後一時雨
2020/08/27,曇時々晴一時雨、雷を伴う
2020/08/28,晴時々曇一時雨
2020/08/29,晴
2020/08/30,晴一時曇
2020/08/31,曇後一時晴
2020/09/01,曇時々雨
2020/09/02,曇時々雨一時晴、雷を伴う
2020/09/03,曇時々雨、雷を伴う
2020/09/04,晴一時曇後一時大雨、雷を伴う
2020/09/05,晴後一時雨、雷を伴う
2020/09/06,雨後曇時々晴、雷を伴う
2020/09/07,曇時々雨、雷を伴う
2020/09/08,晴後曇一時雨
2020/09/09,晴後一時雨、雷を伴う
2020/09/10,曇一時雨
2020/09/11,曇後晴一時雨、雷を伴う
2020/09/12,曇時々雨
2020/09/13,曇後時々雨
2020/09/14,曇一時晴
2020/09/15,曇一時晴
2020/09/16,曇時々雨一時晴
2020/09/17,曇後一時雨
2020/09/18,曇後時々雨
2020/09/19,雨時々曇
2020/09/20,曇時々雨
2020/09/21,曇後晴
2020/09/22,晴後時々曇
2020/09/23,雨時々曇
2020/09/24,曇時々雨
2020/09/25,雨
2020/09/26,雨時々曇
2020/09/27,曇後一時雨一時晴、雷を伴う
2020/09/28,晴
2020/09/29,曇
2020/09/30,晴
2020/10/01,曇一時雨後時々晴
2020/10/02,晴
2020/10/03,曇一時晴
2020/10/04,曇時々雨
2020/10/05,雨後曇時々晴
2020/10/06,曇時々晴
2020/10/07,曇時々晴後雨
2020/10/08,雨
2020/10/09,雨一時曇
2020/10/10,雨
2020/10/11,晴時々雨後曇
2020/10/12,曇後晴一時雨
2020/10/13,晴一時雨
2020/10/14,曇
2020/10/15,曇
2020/10/16,曇後時々晴
2020/10/17,雨
2020/10/18,曇時々晴
2020/10/19,曇後時々雨
2020/10/20,曇時々晴
2020/10/21,晴一時曇
2020/10/22,曇一時雨
2020/10/23,雨時々曇
2020/10/24,晴時々曇
2020/10/25,晴
2020/10/26,晴時々曇
2020/10/27,曇時々晴
2020/10/28,曇時々晴
2020/10/29,晴後一時曇
2020/10/30,晴一時曇
2020/10/31,晴
2020/11/01,曇時々晴
2020/11/02,曇時々雨
2020/11/03,曇時々雨一時晴
2020/11/04,晴
2020/11/05,晴
2020/11/06,曇
2020/11/07,晴時々曇
2020/11/08,曇時々晴
2020/11/09,晴
2020/11/10,晴
2020/11/11,晴
2020/11/12,晴時々曇
2020/11/13,晴
2020/11/14,晴
2020/11/15,晴
2020/11/16,晴
2020/11/17,晴
2020/11/18,晴
2020/11/19,晴一時曇
2020/11/20,曇後一時晴
2020/11/21,晴
2020/11/22,晴一時曇
2020/11/23,晴後一時曇
2020/11/24,晴後雨時々曇
2020/11/25,雨時々曇
2020/11/26,曇時々霧後晴
2020/11/27,曇一時晴
2020/11/28,晴後一時雨
2020/11/29,曇時々晴
2020/11/30,晴
2020/12/01,晴
2020/12/02,曇
2020/12/03,曇後一時晴
2020/12/04,晴
2020/12/05,曇一時晴
2020/12/06,晴
2020/12/07,晴
2020/12/08,晴後時々曇
2020/12/09,曇時々晴
2020/12/10,曇時々晴
2020/12/11,晴後時々曇
2020/12/12,曇時々晴
2020/12/13,晴後時々曇
2020/12/14,曇時々晴
2020/12/15,晴
2020/12/16,晴
2020/12/17,晴
2020/12/18,晴後一時曇
2020/12/19,晴一時曇
2020/12/20,晴
2020/12/21,晴
2020/12/22,晴
2020/12/23,晴
2020/12/24,曇時々晴
2020/12/25,晴一時曇
2020/12/26,晴
2020/12/27,晴一時曇
2020/12/28,晴一時曇
2020/12/29,晴時々曇
2020/12/30,曇時々晴、みぞれを伴う
2020/12/31,晴後一時曇
